,index,date,timestamp,side,px,sz,n
0,0,2023-12-31 0:00:03,1703980802613,ask,101.98,9.8,1
1,0,2023-12-31 0:00:03,1703980802613,ask,101.97,355.24,1
2,0,2023-12-31 0:00:03,1703980802613,ask,101.96,374.59,1
3,0,2023-12-31 0:00:03,1703980802613,ask,101.95,706.72,1
4,0,2023-12-31 0:00:03,1703980802613,ask,101.94,1478.7,2
5,0,2023-12-31 0:00:03,1703980802613,ask,101.93,736.71,1
6,0,2023-12-31 0:00:03,1703980802613,ask,101.87,780.82,1
7,0,2023-12-31 0:00:03,1703980802613,ask,101.86,704.85,1
8,0,2023-12-31 0:00:03,1703980802613,ask,101.76,709.53,1
9,0,2023-12-31 0:00:03,1703980802613,ask,101.73,817.98,1
10,0,2023-12-31 0:00:03,1703980802613,bid,101.56,795.32,1
11,0,2023-12-31 0:00:03,1703980802613,bid,101.5,766.96,1
12,0,2023-12-31 0:00:03,1703980802613,bid,101.48,0.25,1
13,0,2023-12-31 0:00:03,1703980802613,bid,101.3,25.83,1
14,0,2023-12-31 0:00:03,1703980802613,bid,101.03,3567.95,1
15,0,2023-12-31 0:00:03,1703980802613,bid,101.0,29.89,2
16,0,2023-12-31 0:00:03,1703980802613,bid,100.99,3820.4,1
17,0,2023-12-31 0:00:03,1703980802613,bid,100.68,4.89,1
18,0,2023-12-31 0:00:03,1703980802613,bid,100.65,3963.86,2
19,0,2023-12-31 0:00:03,1703980802613,bid,100.51,3642.06,1
20,1,2023-12-31 10:00:03,1704016800175,ask,104.66,150.8,1
21,1,2023-12-31 10:00:03,1704016800175,ask,104.65,393.32,1
22,1,2023-12-31 10:00:03,1704016800175,ask,104.63,692.57,1
23,1,2023-12-31 10:00:03,1704016800175,ask,104.61,420.2,1
24,1,2023-12-31 10:00:03,1704016800175,ask,104.6,746.36,2
25,1,2023-12-31 10:00:03,1704016800175,ask,104.59,786.26,1
26,1,2023-12-31 10:00:03,1704016800175,ask,104.56,699.38,1
27,1,2023-12-31 10:00:03,1704016800175,ask,104.53,774.11,1
28,1,2023-12-31 10:00:03,1704016800175,ask,104.52,822.44,1
29,1,2023-12-31 10:00:03,1704016800175,ask,104.48,815.51,1
30,1,2023-12-31 10:00:03,1704016800175,bid,104.44,3.9,1
31,1,2023-12-31 10:00:03,1704016800175,bid,104.4,1.02,1
