,index,date,timestamp,side,px,sz,n
0,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.98,9.8,1
1,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.97,355.24,1
2,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.96,374.59,1
3,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.95,706.72,1
4,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.94,1478.7,2
5,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.93,736.71,1
6,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.87,780.82,1
7,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.86,704.85,1
8,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.76,709.53,1
9,0,2023-12-31T00:00:03.376069364,1703980802613,ask,101.73,817.98,1
10,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.56,795.32,1
11,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.5,766.96,1
12,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.48,0.25,1
13,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.3,25.83,1
14,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.03,3567.95,1
15,0,2023-12-31T00:00:03.376069364,1703980802613,bid,101.0,29.89,2
16,0,2023-12-31T00:00:03.376069364,1703980802613,bid,100.99,3820.4,1
17,0,2023-12-31T00:00:03.376069364,1703980802613,bid,100.68,4.89,1
18,0,2023-12-31T00:00:03.376069364,1703980802613,bid,100.65,3963.86,2
19,0,2023-12-31T00:00:03.376069364,1703980802613,bid,100.51,3642.06,1
20,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.7,9.6,1
21,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.66,767.99,2
22,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.65,1546.9,3
23,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.62,1477.19,2
24,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.6,753.02,1
25,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.58,854.78,1
26,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.56,777.01,1
27,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.48,1553.87,2
28,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.4,14.0,1
29,1,2023-12-31T01:00:02.922140846,1703984400823,ask,102.25,829.65,1
